match_id,map_name,stage,circle_x,circle_y,circle_radius,next_circle_x,next_circle_y,next_circle_radius,final_zone
11956033af2dbe5e643a3bfd622d5729,worlds_edge,1,7730,5988,4825,9144,3978,2367,north
438a8cebc70d97ee55baf52d78ec6289,worlds_edge,1,9517,10987,4825,11570,12336,2367,east
7201df99cd7d8583edae67a9c3f4a4db,e_district,1,6906,6425,5036,8578,8233,2470,center
bbb52c2723f2ed7819091b80f126c88a,e_district,1,8176,10835,5036,10421,12075,2470,south
e1144ff8fc58373182de7cc23e0ab349,worlds_edge,1,9603,9688,4825,9549,7424,2367,center
26826ff1736cec72e57327841cfad6bb,e_district,1,9187,9022,5036,11570,9973,2470,east
174953f947854eec7c5d8b6b52e82a11,worlds_edge,1,10180,11014,4825,9896,13455,2367,south
4c24d2cd97f7021e891d4d41d774c532,worlds_edge,1,9767,10569,4825,7817,9393,2367,center
3d7a4bae9203c5b817dfe296ef58205f,worlds_edge,1,7698,11271,4825,5812,10104,2367,center
3e55ca7ae7c32438b08c5ba7f6a27b65,worlds_edge,1,7776,10851,4825,5348,11228,2367,south
18494c74f82b3ace73cc8018498ecf88,worlds_edge,1,7831,10525,4825,6446,12553,2367,south
e159ad275993a8533b3b427937d9f309,e_district,1,7224,9110,5036,6332,11515,2470,south
f7e928545b9819795445577c43bbbd32,worlds_edge,1,8233,10188,4825,6111,11346,2367,center
6cb8c29e7b978cc9d9b9fead8f897f1d,storm_point,1,8611,7449,4894,8969,4988,2407,north
0ef38c9228938da26731edcaa91173d1,e_district,1,7397,5956,5036,8548,8217,2470,center
c0071581dafacb464f3850a456de7ea6,e_district,1,9375,8529,5036,11665,9680,2470,east
397a925f0adfbcbcbccdf0bec25eea5c,worlds_edge,1,8498,6863,4825,10798,7730,2367,east
3d72e3435e9587967ea92959523c9bf9,storm_point,1,7937,8211,4974,9476,10264,2407,center
24d8159d0fa859fb92bf3cbd631579d1,worlds_edge,1,6776,9317,4825,5183,7447,2367,center
3c5931d43bdf01a2e21cfde8f4021e62,e_district,1,7628,9162,5036,8707,6993,2470,center
cafd7b25468df945e4984738cb8de3c0,worlds_edge,1,7463,11343,4825,6248,9780,2367,center
13d9f62eec26f99db2900b468865ef47,e_district,1,8951,7970,5036,11261,6854,2470,east
246244a11206d85335de6548b69c4601,storm_point,1,9954,7762,4974,12288,8830,2407,east
bbeb1f4de16ce1556ebd23d458261fff,storm_point,1,7651,6884,4974,10050,6299,2407,center
fa1f54a19fb8aa73abd3358a84d65005,worlds_edge,1,7198,11305,4825,4842,11996,2367,south
78d5e8aab9182973ea47ae639cb5b32e,storm_point,1,7306,6568,4974,6453,4147,2407,north
b33d24a77c788e3235824b97a267e9c1,storm_point,1,9653,8610,4894,11497,10277,2407,east
cc850ebe2b1c575281fbe9f94feb0a62,e_district,1,8966,8300,5036,7509,9597,2470,center
8905780909422d4e41721a53d263c35e,worlds_edge,1,9315,8718,4825,9497,6372,2367,center
0d56b59faaaeb15103193bdb29225897,storm_point,1,10125,8670,4894,12366,7593,2407,east
bab98473e1d59559bc04d6c3416eed39,storm_point,1,6949,8367,4894,4543,7740,2407,west
81daa2869b499a5e719126ee556b89fa,storm_point,1,7883,9711,4894,8895,8395,2407,center
82e4a5bff90fc651ac0205db228c06e6,e_district,1,8649,8171,5036,8439,9582,2470,center
6696007d60762a62fa36e1a1438d7927,e_district,1,9491,9849,5036,10330,12273,2470,south
2b1d7d4b052672c6421f4151d50dfe70,storm_point,1,10874,7621,4894,12217,5528,2407,east
f4e79507ef6fc81edd1efeb82cf3d708,storm_point,1,7844,7042,4974,6045,8872,2407,center
1f0177619f4bb7b29f6c04750759e836,storm_point,1,7053,7927,4974,7846,10367,2407,center
2c7bbfbd37dbc42882c0ccaefb9013ac,storm_point,1,8329,4820,4894,10084,3059,2407,north
ec972bb788c9dd77144bebe9f377dd83,storm_point,1,9913,5742,4974,9004,3342,2407,north
f089c97b6dea93e6c6521d8bac7060f1,storm_point,1,8687,7747,4894,9316,10153,2407,south
